,metabolite,name,description
392,ppi,"""Pyrophosphate""","""Human Metabolome Database (HMDB): The anion, the salts, and the esters of pyrophosphoric acid are called pyrophosphates. The pyrophosphate anion is abbreviated PPi and is formed by the hydrolysis of ATP into AMP in cells. This hydrolysis is called pyrophosphorolysis. The pyrophosphate anion has the structure P2O74-, and is an acid anhydride of phosphate. It is unstable in aqueous solution and rapidly hydrolyzes into inorganic phosphate. Pyrophosphate is an osteotoxin (arrests bone development) and an arthritogen (promotes arthritis). It is also a metabotoxin (an endogenously produced metabolite that causes adverse health affects at chronically high levels). Chronically high levels of pyrophosphate are associated with hypophosphatasia. Hypophosphatasia (also called deficiency of alkaline phosphatase or phosphoethanolaminuria) is a rare, and sometimes fatal, metabolic bone disease. Hypophosphatasia is associated with a molecular defect in the gene encoding tissue non-specific alkaline phosphatase (TNSALP). TNSALP is an enzyme that is tethered to the outer surface of osteoblasts and chondrocytes. TNSALP hydrolyzes several substances, including inorganic pyrophosphate (PPi) and pyridoxal 5'-phosphate (PLP), a major form of vitamin B6. When TSNALP is low, inorganic pyrophosphate (PPi) accumulates outside of cells and inhibits the formation of hydroxyapatite, one of the main components of bone, causing rickets in infants and children and osteomalacia (soft bones) in adults. Vitamin B6 must be dephosphorylated by TNSALP before it can cross the cell membrane. Vitamin B6 deficiency in the brain impairs synthesis of neurotransmitters which can cause seizures. In some cases, a build-up of calcium pyrophosphate dihydrate crystals in the joints can cause pseudogout."""
393,rmn,"""L-Rhamnose""","""Human Metabolome Database (HMDB): Rhamnose (Rham) is a naturally occurring deoxy sugar. It can be classified as either a methyl-pentose or a 6-deoxy-hexose. Rhamnose occurs in nature in its L-form as L-rhamnose (6-deoxy-L-mannose). This is unusual, since most of the naturally occurring sugars are in D-form. Rhamnose is commonly bound to other sugars in nature. It is a common glycone component of glycosides from many plants. Rhamnose is also a component of the outer cell membrane of certain bacteria. L-rhamnose is metabolized to L-Lactaldehyde, which is a branching point in the metabolic pathway of L-fucose and L-rhamnose utilization. It exists in two anomeric forms, alpha-L-rhamnose and beta-L-rhamnose."""
394,etoh,"""Ethanol""","""Human Metabolome Database (HMDB): Ethanol is a clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations as well as serving as the primary ingredient in alcoholic beverages. Indeed, ethanol has widespread use as a solvent of substances intended for human contact or consumption, including scents, flavorings, colorings, and medicines. Ethanol has a depressive effect on the central nervous system and because of its psychoactive effects, it is considered a drug. Ethanol has a complex mode of action and affects multiple systems in the brain, most notably it acts as an agonist to the GABA receptors. Death from ethanol consumption is possible when blood alcohol level reaches 0.4%. A blood level of 0.5% or more is commonly fatal. Levels of even less than 0.1% can cause intoxication, with unconsciousness often occurring at 0.3-0.4 %. Ethanol is metabolized by the body as an energy-providing carbohydrate nutrient, as it metabolizes into acetyl CoA, an intermediate common with glucose metabolism, that can be used for energy in the citric acid cycle or for biosynthesis. Ethanol within the human body is converted into acetaldehyde by alcohol dehydrogenase and then into acetic acid by acetaldehyde dehydrogenase. The product of the first step of this breakdown, acetaldehyde, is more toxic than ethanol. Acetaldehyde is linked to most of the clinical effects of alcohol. It has been shown to increase the risk of developing cirrhosis of the liver,[77] multiple forms of cancer, and alcoholism. Industrially, ethanol is produced both as a petrochemical, through the hydration of ethylene, and biologically, by fermenting sugars with yeast. Small amounts of ethanol are endogenously produced by gut microflora through anaerobic fermentation. However most ethanol detected in biofluids and tissues likely comes from consumption of alcoholic beverages. Absolute ethanol or anhydrous alcohol generally refers to purified ethanol, containing no more than one percent water. Absolute alcohol is not intended for human consumption. It often contains trace amounts of toxic benzene (used to remove water by azeotropic distillation). Consumption of this form of ethanol can be fatal over a short time period. Generally absolute or pure ethanol is used as a solvent for lab and industrial settings where water will disrupt a desired reaction. Pure ethanol is classed as 200 proof in the USA and Canada, equivalent to 175 degrees proof in the UK system. Ethanol is a general biomarker for the consumption of alcohol"""
395,mal_L,"""L-Malic acid""","""Human Metabolome Database (HMDB): Malic acid is a tart-tasting organic dicarboxylic acid that plays a role in many sour or tart foods. Apples contain malic acid, which contributes to the sourness of a green apple. Malic acid can make a wine taste tart, although the amount decreases with increasing fruit ripeness. (wikipedia). In its ionized form malic acid is called malate. Malate is an intermediate of the TCA cycle along with fumarate. It can also be formed from pyruvate as one of the anaplerotic reactions. In humans, malic acid is both derived from food sources and synthesized in the body through the citric acid cycle or Krebs cycle which takes place in the mitochondria. Malate's importance to the production of energy in the body during both aerobic and anaerobic conditions is well established. Under aerobic conditions, the oxidation of malate to oxaloacetate provides reducing equivalents to the mitochondria through the malate-aspartate redox shuttle. During anaerobic conditions, where a buildup of excess of reducing equivalents inhibits glycolysis, malic acid's simultaneous reduction to succinate and oxidation to oxaloacetate is capable of removing the accumulating reducing equivalents. This allows malic acid to reverse hypoxia's inhibition of glycolysis and energy production. In studies on rats it has been found that only tissue malate is depleted following exhaustive physical activity. Other key metabolites from the citric acid cycle needed for energy production were found to be unchanged. Because of this, a deficiency of malic acid has been hypothesized to be a major cause of physical exhaustion. Notably, the administration of malic acid to rats has been shown to elevate mitochondrial malate and increase mitochondrial respiration and energy production."""
396,3mop,"""3-Methyl-2-Oxovaleric Acid""","""Human Metabolome Database (HMDB): 3-Methyl-2-oxovaleric acid is an abnormal metabolite that arises from the incomplete breakdown of branched-chain amino acids. 3-Methyl-2-oxovaleric acid is a neurotoxin, an acidogen, and a metabotoxin. A neurotoxin causes damage to nerve cells and nerve tissues. An acidogen is an acidic compound that induces acidosis, which has multiple adverse effects on many organ systems. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of 3-methyl-2-oxovaleric acid are associated with maple syrup urine disease. MSUD is a metabolic disorder caused by a deficiency of the branched-chain alpha-keto acid dehydrogenase complex (BCKDC), leading to a buildup of the branched-chain amino acids (leucine, isoleucine, and valine) and their toxic by-products (ketoacids) in the blood and urine. The symptoms of MSUD often show in infancy and lead to severe brain damage if untreated. MSUD may also present later depending on the severity of the disease. If left untreated in older individuals, during times of metabolic crisis, symptoms of the condition include uncharacteristically inappropriate, extreme, or erratic behaviour and moods, hallucinations, anorexia, weight loss, anemia, diarrhea, vomiting, dehydration, lethargy, oscillating hypertonia and hypotonia, ataxia, seizures, hypoglycemia, ketoacidosis, opisthotonus, pancreatitis, rapid neurological decline, and coma.  In maple syrup urine disease, the brain concentration of branched-chain ketoacids can increase 10- to 20-fold. This leads to a depletion of glutamate and a consequent reduction in the concentration of brain glutamine, aspartate, alanine, and other amino acids. The result is a compromise of energy metabolism because of a failure of the malate-aspartate shuttle and a diminished rate of protein synthesis (PMID: 15930465). 3-Methyl-2-oxovaleric acid is a keto-acid, which is a subclass of organic acids. Abnormally high levels of organic acids in the blood (organic acidemia), urine (organic aciduria), the brain, and other tissues lead to general metabolic acidosis. Acidosis typically occurs when arterial pH falls below 7.35. In infants with acidosis, the initial symptoms include poor feeding, vomiting, loss of appetite, weak muscle tone (hypotonia), and lack of energy (lethargy). These can progress to heart, liver, and kidney abnormalities, seizures, coma, and possibly death. These are also the characteristic symptoms of untreated MSUD. Many affected children with organic acidemias experience intellectual disability or delayed development."""
397,akg,"""Oxoglutaric acid""","""Human Metabolome Database (HMDB): Oxoglutaric acid, also known as alpha-ketoglutarate, alpha-ketoglutaric acid, AKG or 2-Oxoglutaric acid, is classified as a gamma-keto acid or a Gamma-keto acid derivative. Gamma-keto acids are organic compounds containing an aldehyde substituted with a keto group on the C4 carbon atom. Alpha-ketoglutarate is considered to be soluble (in water) and acidic. Alpha-ketoglutarate (AKG) is a key molecule in the Krebs, TCA or citric acid cycle, playing a fundamental role in determining the overall rate of this important metabolic process (PMID: 26759695). In the TCA cycle, AKG is decarboxylated to succinyl-CoA and carbon dioxide by AKG dehydrogenase, which functions as a key control point of the TCA cycle. Additionally, AKG can be generated from isocitrate by oxidative decarboxylation catalyzed by the enzyme known as isocitrate dehydrogenase (IDH). In addition to these routes of production, AKG can be produced from glutamate by oxidative deamination via glutamate dehydrogenase, and as a product of pyridoxal phosphate-dependent transamination reactions (mediated by branched-chain amino acid transaminases) in which glutamate is a common amino donor. AKG is a nitrogen scavenger and a source of glutamate and glutamine that stimulates protein synthesis and inhibits protein degradation in muscles. In particular, AKG can decrease protein catabolism and increase protein synthesis to enhance bone tissue formation in skeletal muscles (PMID: 26759695). Interestingly, enteric feeding of AKG supplements can significantly increase circulating plasma levels of such hormones as insulin, growth hormone and insulin like growth factor-1 (PMID: 26759695). It has recently been shown that AKG can extend the lifespan of adult C. elegans by inhibiting ATP synthase and TOR (PMID: 24828042). In combination with molecular oxygen, alpha-ketoglutarate is required for the hydroxylation of proline to hydroxyproline in the production of Type 1 collagen. A recent study has shown that α-ketoglutarate promotes TH1 differentiation along with the depletion of glutamine thereby favoring Treg (regulatory T-cell) differentiation (PMID: 26420908). Alpha-ketoglutarate has been found to be associated with fumarase deficiency, 2-Ketoglutarate dehydrogenase complex deficiency and D-2-hydroxyglutaric aciduria which is an inborn error of metabolism (PMID: 8338207)."""
398,gcald,"""Glycolaldehyde""","""Human Metabolome Database (HMDB): Glycolaldehyde (HOCH2-CH=O, IUPAC name 2-hydroxyethanal) is a type of diose (2-carbon monosaccharide). Glycolaldehyde is readily converted to acetyl coenzyme A. It has an aldehyde and a hydroxyl group. However, it is not actually a sugar, because there is only one hydroxyl group. Glycolaldehyde is formed from many sources, including the amino acid glycine and from purone catabolism. It can form by action of ketolase on fructose 1,6-bisphosphate in an alternate glycolysis pathway. This compound is transferred by thiamin pyrophosphate during the pentose phosphate shunt."""
399,btd_RR,"""(2R,3R)-2,3-Butanediol""","""Human Metabolome Database (HMDB): (2R,3R)-2,3-Butanediol is found in cocoa and cocoa products. (2R,3R)-2,3-Butanediol is isolated from cocoa butter and roots of Ruta graveolens (rue).2,3-Butanediol is one of the constitutional isomers of butanediol. The 2R,3R stereoisomer of 2,3-butanediol is produced by a variety of microorganisms, in a process known as butanediol fermentation. It is found in cocoa butter and in the roots of Ruta graveolens. (Wikipedia)."""
400,glyb,"""Betaine""","""Human Metabolome Database (HMDB): Betaine, (or N,N,N-trimethylglycine) was named after its discovery in sugar beet (Beta vulgaris) in the 19th century. It is a small N-trimethylated amino acid, existing in zwitterionic form at neutral pH. It is now often called glycine betaine to distinguish it from other betaines that are widely distributed in microorganisms, plants and animals.  Many naturally occurring betaines serve as organic osmolytes, substances synthesized or taken up from the environment by cells for protection against osmotic stress, drought, high salinity or high temperature. Intracellular accumulation of betaines permits water retention in cells, thus protecting from the effects of dehydration (Wikipedia). Betaine functions as a methyl donor in that it carries and donates methyl functional groups to facilitate necessary chemical processes. In particular it methylates homocysteine to methionine, also producing N,N-dimethylglycine. The donation of methyl groups is important to proper liver function, cellular replication, and detoxification reactions. Betaine also plays a role in the manufacture of carnitine and serves to protect the kidneys from damage. Betaine comes from either the diet or by the oxidation of choline. Betaine insufficiency is associated with the metabolic syndrome, lipid disorders and diabetes, and may have a role in vascular and other diseases (PMID: 20346934). Betaine is found to be associated with propionic acidemia, which is an inborn error of metabolism. Betaine is important in development, from the pre-implantation embryo to infancy. Betaine is also widely regarded as an anti-oxidant.  Betaine has been shown to have an inhibitory effect on NO release in activated microglial cells and may be an effective therapeutic component to control neurological disorders (PMID: 22801281).  As a drug, betaine hydrochloride has been used as a source of hydrochloric acid in the treatment of hypochlorhydria. Betaine has also been used in the treatment of liver disorders, for hyperkalemia, for homocystinuria, and for gastrointestinal disturbances (From Martindale, The Extra Pharmacopoeia, 30th Ed, p1341)."""
401,gncore2,"""GlcNac-Alpha-1,4-Core 2""",""""""
402,MGlcn83,"""mucin-type O-glycan No 83""",null
403,MGlcn27,"""mucin-type O-glycan No 27""",null
404,MGlcn82,"""mucin-type O-glycan No 82""",null
405,MGlcn144,"""mucin-type O-glycan No 144""",null
406,MGlcn51,"""mucin-type O-glycan No 51""",null
407,MGlcn80,"""mucin-type O-glycan No 80""",null
408,MGlcn117,"""mucin-type O-glycan No 117""",null
409,MGlcn53,"""mucin-type O-glycan No 53""",null
410,cspg_a,"""Chondroitin Sulfate A (GalNac4S-Glca) Proteoglycan""",""""""
411,cspg_c,"""Chondroitin Sulfate C (GalNac6S-Glca) Proteoglycan""",""""""
412,chor,"""Chorismate""","""Human Metabolome Database (HMDB): Chorismic acid, more commonly known as its anionic form chorismate, is an important biochemical intermediate in plants and microorganisms. It is a precursor for the aromatic amino acids phenylalanine and tyrosine,indole, indole derivatives and tryptophan,2,3-dihydroxybenzoic acid (DHB) used for enterobactin biosynthesis,the plant hormone salicylic acid and many alkaloids and other aromatic metabolites. -- Wikipedia."""
413,pydam,"""Pyridoxamine""","""Human Metabolome Database (HMDB): The 4-aminomethyl form of vitamin B6. During transamination of amino acids, pyridoxal phosphate is transiently converted into pyridoxamine phosphate. -- Pubchem; Pyridoxamine is one of the compounds that can be called vitamin B6, along with Pyridoxal and Pyridoxine. -- Wikipedia."""
414,fuc_L,"""L-Fucose""","""Human Metabolome Database (HMDB): Fucose is a hexose deoxy sugar with the chemical formula C6H12O5. L-fucose (6-deoxy-L-galactose) is a monosaccharide that is a common component of many N- and O-linked glycans and glycolipids produced by mammalian cells. It is the fundamental sub-unit of the fucoidan polysaccharide. As a free sugar, L-fucose is normally found at very low levels in mammals. It is unique in that it is the only levorotatory sugar synthesized and utilized by mammals. Fucose polymers are synthesized by fucosyltransferases.  All fucosyltransferases utilize a nucleotide-activated form of fucose, GDP-fucose, as a fucose donor in the construction of fucosylated oligosaccharides. The ABO blood group antigens are among the most well known fucosylated glycans. The alpha-1->3 linked core fucose is a suspected carbohydrate antigen for IgE-mediated allergy. Two structural features distinguish fucose from other six-carbon sugars present in mammals: the lack of a hydroxyl group on the carbon at the 6-position (C-6) and the L-configuration. In fucose-containing glycan structures, fucosylated glycans, fucose can exist as a terminal modification or serve as an attachment point for adding other sugars. Fucose is metabolized by an enzyme called alpha-fucosidase. Fucose is secreted in urine when the liver is damaged.  Free L-fucose in serum and urine can be used as a marker for cancer, cirrhosis, alcoholic liver disease and gastric ulcers (PMID: 2311216) (PMID: 8488966). Elevated levels of serum fucose have been reported in breast cancer, ovarian cancer, lung cancer, liver cancer, diabetes and cardiovascular disease. It has been shown that feeding rats a diet high in L-fucose induces neuropathy similar to that seen in diabetics"""
415,etha,"""Ethanolamine""","""Human Metabolome Database (HMDB): Ethanolamine is a viscous, hygroscopic amino alcohol with an ammoniacal odor. It is widely distributed in biological tissue and is a component of lecithin. It is used as a surfactant, fluorometric reagent, and to remove CO2 and H2S from natural gas and other gases. Ethanolamine is found to be associated with maple syrup urine disease and propionic acidemia, which are inborn errors of metabolism."""
416,MGlcn28_rl,"""released mucin-type O-glycan No 28""",null
417,MGlcn26_rl,"""released mucin-type O-glycan No 26""",null
418,MGlcn32_rl,"""released mucin-type O-glycan No 32""",null
419,MGlcn25,"""mucin-type O-glycan No 25""",null
420,MGlcn106,"""mucin-type O-glycan No 106""",null
421,MGlcn106_rl,"""released mucin-type O-glycan No 106""",null
422,MGlcn137_rl,"""released mucin-type O-glycan No 137""",null
423,MGlcn25_rl,"""released mucin-type O-glycan No 25""",null
424,MGlcn91_rl,"""released mucin-type O-glycan No 91""",null
425,MGlcn96_rl,"""released mucin-type O-glycan No 96""",null
426,gncore1_rl,"""released GlcNAc-alpha-1,4-Core 1""",null
427,MGlcn82_rl,"""released mucin-type O-glycan No 82""",null
428,gncore2_rl,"""released GlcNAc-alpha-1,4-Core 2""",null
429,MGlcn39,"""mucin-type O-glycan No 39""",null
430,for,"""Formic acid""","""Human Metabolome Database (HMDB): Formic acid is the simplest carboxylic acid. Formate is an intermediate in normal metabolism. It takes part in the metabolism of one-carbon compounds and its carbon may appear in methyl groups undergoing transmethylation. It is eventually oxidized to carbon dioxide. Formate is typically produced as a byproduct in the production of acetate. It is responsible for both metabolic acidosis and disrupting mitochondrial electron transport and energy production by inhibiting cytochrome oxidase activity, the terminal electron acceptor of the electron transport chain. Cell death from cytochrome oxidase inhibition by formate is believed to result partly from depletion of ATP, reducing energy concentrations so that essential cell functions cannot be maintained. Furthermore, inhibition of cytochrome oxidase by formate may also cause cell death by increased production of cytotoxic reactive oxygen species (ROS) secondary to the blockade of the electron transport chain. In nature, formic acid is found in the stings and bites of many insects of the order Hymenoptera, including bees and ants. The principal use of formic acid is as a preservative and antibacterial agent in livestock feed. When sprayed on fresh hay or other silage, it arrests certain decay processes and causes the feed to retain its nutritive value longer."""
431,dextran40,"""Dextran 40, 1,6-alpha-D-Glucan""",""""""
432,lmn30,"""Laminarin (n=30 repeat units, beta -1,3 glc)""",""""""
433,2obut,"""2-Ketobutyric acid""","""Human Metabolome Database (HMDB): 2-Ketobutyric acid is a substance that is involved in the metabolism of many amino acids (glycine, methionine, valine, leucine, serine, threonine, isoleucine) as well as propanoate metabolism and C-5 branched dibasic acid metabolism. More specifically, alpha-ketobutyric acid is a product of the lysis of cystathionine. It is also one of the degradation products of threonine. It can be converted to propionyl-CoA (and subsequently methylmalonyl CoA, which can be converted to succinyl CoA, a citric acid cycle intermediate), and thus enter the citric acid cycle."""
434,duri,"""Deoxyuridine""","""Human Metabolome Database (HMDB): 2'-Deoxyuridine is a naturally occurring nucleoside. It is similar in chemical structure to uridine, but without the 2'-hydroxyl group. It is considered to be an antimetabolite that is converted to deoxyuridine triphosphate during DNA synthesis. Laboratory suppression of deoxyuridine is used to diagnose megaloblastic anemia due to vitamin B12 and folate deficiencies."""
435,MGlcn163,"""mucin-type O-glycan No 163""",null
436,MGlcn163_rl,"""released mucin-type O-glycan No 163""",null
437,MGlcn39_rl,"""released mucin-type O-glycan No 39""",null
438,MGlcn147_rl,"""released mucin-type O-glycan No 147""",null
439,MGlcn153_rl,"""released mucin-type O-glycan No 153""",null
440,MGlcn48,"""mucin-type O-glycan No 48""",null
441,sT_antigen_rl,"""released sialyl-Tn antigen""",null
442,MGlcn51_rl,"""released mucin-type O-glycan No 51""",null
443,MGlcn117_rl,"""released mucin-type O-glycan No 117""",null
444,MGlcn53_rl,"""released mucin-type O-glycan No 53""",null
445,cspg_c_degr,"""Dimer GalNAc6S-GlcA""",""""""
446,MGlcn46,"""mucin-type O-glycan No 46""",null
447,MGlcn78,"""mucin-type O-glycan No 78""",null
448,acgalglcur,"""Dimer GalNAc-GlcA""",""""""
449,acgalidour,""" Dimer GalNAc-IdoA""",""""""
450,dpcoa,"""Dephospho-CoA""","""Human Metabolome Database (HMDB): Dephospho-CoA is an intermediate in Pantothenate and CoA biosynthesis. It is a substrate for Bifunctional coenzyme A synthase which contains the dephospho-CoA kinase (EC:2.7.1.24), This enzyme catalyzes the final step in CoA biosynthesis, the phosphorylation of the 3'-hydroxyl group of ribose using ATP as a phosphate donor. The reaction is: ATP + 3'-dephospho-CoA = ADP + CoA."""
451,pheme,"""Heme""","""Human Metabolome Database (HMDB): Heme is the color-furnishing portion of hemoglobin. It is found free in tissues and as the prosthetic group in many hemeproteins. A heme or haem is a prosthetic group that consists of an iron atom contained in the center of a large heterocyclic organic ring called a porphyrin. Not all porphyrins contain iron, but a substantial fraction of porphyrin-containing metalloproteins have heme as their prosthetic subunit; these are known as hemoproteins."""
452,sheme,"""Siroheme""",""""""
453,spmd,"""Spermidine""","""Human Metabolome Database (HMDB): Spermidine is a polyamine formed from putrescine. It is found in almost all tissues in association with nucleic acids. It is found as a cation at all pH values, and is thought to help stabilize some membranes and nucleic acid structures. It is a precursor of spermine."""
454,thm,"""Thiamine""","""Human Metabolome Database (HMDB): Thiamine or thiamin, also known as vitamin B1, is a colorless compound with the chemical formula C12H17N4OS. It is soluble in water and insoluble in alcohol. Thiamine decomposes if heated. Thiamine was first discovered by Umetaro Suzuki in Japan when researching how rice bran cured patients of Beriberi. Thiamine plays a key role in intracellular glucose metabolism and it is thought that thiamine inhibits the effect of glucose and insulin on arterial smooth muscle cell proliferation. thiamine plays an important role in helping the body convert carbohydrates and fat into energy. It is essential for normal growth and development and helps to maintain proper functioning of the heart and the nervous and digestive systems. Thiamine cannot be stored in the body; however, once absorbed, the vitamin is concentrated in muscle tissue."""
455,glycys,"""Gly-Cys""",""""""
456,chtbs,"""N,N-diacetylchitobiose""",""""""
457,raffin,"""Raffinose""","""Human Metabolome Database (HMDB): Trisaccharide. A trisaccharide occurring in Australian manna (from Eucalyptus spp, Myrtaceae) and in cottonseed meal. -- Pubchem; Raffinose is a complex carbohydrate, a trisaccharide composed of galactose, fructose, and glucose. It can be found in beans, cabbage, brussels sprouts, broccoli, asparagus, other vegetables, and whole grains. Raffinose is hydrolysed to D-galactose and sucrose by D-galactosidase (D-GAL) (1). D-GAL also hydrolyses other D-galactosides such as stachyose, verbascose, and galactinol [1-O-(D-galactosyl)-myoinositol], if present. The enzyme does not cleave linked galactose, as in lactose. -- Wikipedia; Raffinose is also known as melitose and may be thought of as galactose + sucrose connected via an alpha(1-6) glycosidic linkage and so raffinose can be broken apart into galactose and sucrose via the enzyme alpha-galactosidase. Human intestines do not contain this enzyme. -- Wikipedia."""
458,mqn7,"""Menaquinone-7""",""""""
459,chsterol,"""Cholesterol""","""Human Metabolome Database (HMDB): Cholesterol is a sterol (a combination steroid and alcohol) and a lipid found in the cell membranes of all body tissues and transported in the blood plasma of all animals. The name originates from the Greek chole- (bile) and stereos (solid), and the chemical suffix -ol for an alcohol. This is because researchers first identified cholesterol in solid form in gallstones in 1784. In the body, cholesterol can exist in either the free form or as an ester with a single fatty acid (of 10-20 carbons in length) covalently attached to the hydroxyl group at position 3 of the cholesterol ring. Due to the mechanism of synthesis, plasma cholesterol esters tend to contain relatively high proportions of polyunsaturated fatty acids. Most of the cholesterol consumed as a dietary lipid exists as cholesterol esters. Cholesterol esters have a lower solubility in water than cholesterol and are more hydrophobic. They are hydrolyzed by the pancreatic enzyme cholesterol esterase to produce cholesterol and free fatty acids. Cholesterol has vital structural roles in membranes and in lipid metabolism in general. It is a biosynthetic precursor of bile acids, vitamin D, and steroid hormones (glucocorticoids, estrogens, progesterones, androgens and aldosterone). In addition, it contributes to the development and functioning of the central nervous system, and it has major functions in signal transduction and sperm development. Cholesterol is a ubiquitous component of all animal tissues where much of it is located in the membranes, although it is not evenly distributed. The highest proportion of unesterified cholesterol is in the plasma membrane (roughly 30-50% of the lipid in the membrane or 60-80% of the cholesterol in the cell), while mitochondria and the endoplasmic reticulum have very low cholesterol contents. Cholesterol is also enriched in early and recycling endosomes, but not in late endosomes. The brain contains more cholesterol than any other organ where it comprises roughly a quarter of the total free cholesterol in the human body. Of all the organic constituents of blood, only glucose is present in a higher molar concentration than cholesterol. Cholesterol esters appear to be the preferred form for transport in plasma and as a biologically inert storage (de-toxified) form. They do not contribute to membranes but are packed into intracellular lipid particles. Cholesterol molecules (i.e. cholesterol esters) are transported throughout the body via lipoprotein particles. The largest lipoproteins, which primarily transport fats from the intestinal mucosa to the liver, are called chylomicrons. They carry mostly triglyceride fats and cholesterol that are from food, especially internal cholesterol secreted by the liver into the bile. In the liver, chylomicron particles give up triglycerides and some cholesterol. They are then converted into low-density lipoprotein (LDL) particles, which carry triglycerides and cholesterol on to other body cells. In healthy individuals, the LDL particles are large and relatively few in number. In contrast, large numbers of small LDL particles are strongly associated with promoting atheromatous disease within the arteries. (Lack of information on LDL particle number and size is one of the major problems of conventional lipid tests.). In conditions with elevated concentrations of oxidized LDL particles, especially small LDL particles, cholesterol promotes atheroma plaque deposits in the walls of arteries, a condition known as atherosclerosis, which is a major contributor to coronary heart disease and other forms of cardiovascular disease. There is a worldwide trend to believe that lower total cholesterol levels tend to correlate with lower atherosclerosis event rates (though some studies refute this idea). As a result, cholesterol has become a very large focus for the scientific community trying to determine the proper amount of cholesterol needed in a healthy diet. However, the primary association of atherosclerosis with cholesterol has always been specifically with cholesterol transport patterns, not total cholesterol per se. For example, total cholesterol can be low, yet made up primarily of small LDL and small HDL particles and atheroma growth rates are high. In contrast, however, if LDL particle number is low (mostly large particles) and a large percentage of the HDL particles are large (HDL is actively reverse transporting cholesterol), then atheroma growth rates are usually low, even negative, for any given total cholesterol concentration. These effects are further complicated by the relative concentration of asymmetric dimethylarginine (ADMA) in the endothelium since ADMA down-regulates production of nitric oxide, a relaxant of the endothelium. Thus, high levels of ADMA, associated with highly oxidized levels of LDL, pose a heightened risk factor for vascular disease. Chronically high levels of cholesterol are associated with at least five inborn errors of metabolism, including cerebrotendinous xanthomatosis, cholesteryl ester storage disease, congenital lipoid adrenal hyperplasia, hypercholesterolemia, and Zellweger syndrome. In chronically high levels, cholesterol can function as an atherogen (causes atherosclerosis and cardiovascular disease). Specifically, chronically high levels (from diet or from genetic predisposition or from diseases such as hyperlipidemia) of cholesterol and cholesterol esters lead to an excess of low-density lipoprotein (LDL) particles. In healthy individuals, the LDL particles are large and relatively few in number. In contrast, large numbers of small LDL particles are strongly associated with promoting atheromatous disease within the arteries. In conditions with elevated concentrations of oxidized LDL particles, especially small LDL particles, cholesterol promotes atheroma plaque deposits in the walls of arteries, a condition known as atherosclerosis, which is a major contributor to coronary heart disease and other forms of cardiovascular disease. Resistin, a protein secreted by fat tissue, has been shown to increase the production of LDL in human liver cells and also degrades LDL receptors in the liver. As a result, the liver is less able to clear cholesterol from the bloodstream. Resistin accelerates the accumulation of LDL in arteries, increasing the risk of heart disease."""
460,12ppd_S,"""(S)-Propane-1,2-diol""","""Human Metabolome Database (HMDB): (S)-Propane-1,2-diol is a clear, colorless, viscous organic solvent and diluent used in pharmaceutical preparations."""
461,lald_L,"""Lactaldehyde""","""Human Metabolome Database (HMDB): L-lactaldehyde is an intermediate metabolite in the pyruvate metabolism pathway. L-lactaldehyde is irreversibly produced from pyruvaldehyde via the enzyme aldehyde reductase (EC:1.1.1.21) which is then irreversibly converted to propylene glycol via aldehyde reductase (EC:1.1.1.21)."""
462,MGlcn98_rl,"""released mucin-type O-glycan No 98""",null
463,MGlcn99_rl,"""released mucin-type O-glycan No 99""",null
464,MGlcn94,"""mucin-type O-glycan No 94""",null
465,MGlcn94_rl,"""released mucin-type O-glycan No 94""",null
466,MGlcn107,"""mucin-type O-glycan No 107""",null
467,MGlcn98,"""mucin-type O-glycan No 98""",null
468,MGlcn99,"""mucin-type O-glycan No 99""",null
469,MGlcn115,"""mucin-type O-glycan No 115""",null
470,MGlcn113,"""mucin-type O-glycan No 113""",null
471,MGlcn173,"""mucin-type O-glycan No 173""",null
472,MGlcn80_rl,"""released mucin-type O-glycan No 80""",null
473,MGlcn83_rl,"""released mucin-type O-glycan No 83""",null
474,MGlcn27_rl,"""released mucin-type O-glycan No 27""",null
475,MGlcn144_rl,"""released mucin-type O-glycan No 144""",null
476,MGlcn140_rl,"""released mucin-type O-glycan No 140""",null
477,MGlcn74_rl,"""released mucin-type O-glycan No 74""",null
478,MGlcn92_rl,"""released mucin-type O-glycan No 92""",null
479,MGlcn31_rl,"""released mucin-type O-glycan No 31""",null
480,MGlcn95_rl,"""released mucin-type O-glycan No 95""",null
481,MGlcn104_rl,"""released mucin-type O-glycan No 104""",null
482,MGlcn105_rl,"""released mucin-type O-glycan No 105""",null
483,MGlcn93_rl,"""released mucin-type O-glycan No 93""",null
484,MGlcn114_rl,"""released mucin-type O-glycan No 114""",null
485,MGlcn97_rl,"""released mucin-type O-glycan No 97""",null
486,MGlcn111_rl,"""released mucin-type O-glycan No 111""",null
487,MGlcn112_rl,"""released mucin-type O-glycan No 112""",null
488,MGlcn107_rl,"""released mucin-type O-glycan No 107""",null
489,MGlcn115_rl,"""released mucin-type O-glycan No 115""",null
490,MGlcn113_rl,"""released mucin-type O-glycan No 113""",null
491,MGlcn173_rl,"""released mucin-type O-glycan No 173""",null
492,MGlcn45_rl,"""released mucin-type O-glycan No 45""",null
